Date,Product,Quantity,PricePerUnit,TotalPrice
2025-02-21,Tablet,3,490.54,1471.62
2025-03-13,Smartphone,4,986.89,3947.56
2025-02-26,Tablet,1,554.79,554.79
2025-01-08,Tablet,10,241.41,2414.05
2025-01-29,Headphones,1,805.2,805.2
2025-02-23,Tablet,5,802.33,4011.66
2025-01-03,Smartphone,2,308.52,617.04
2025-03-05,Headphones,9,221.59,1994.32
2025-04-22,Monitor,10,950.27,9502.73
2025-05-16,Monitor,1,475.53,475.53
2025-03-01,Monitor,5,336.37,1681.86
2025-05-18,Monitor,7,137.56,962.94
2025-01-07,Monitor,4,372.03,1488.11
2025-02-07,Tablet,5,203.36,1016.82
2025-02-10,Headphones,6,251.93,1511.56
2025-01-04,Laptop,6,449.4,2696.39
2025-05-26,Smartphone,1,723.1,723.1
2025-03-17,Tablet,3,658.1,1974.29
2025-01-07,Monitor,5,728.61,3643.05
2025-01-20,Monitor,7,459.92,3219.47
2025-05-08,Headphones,3,170.84,512.52
2025-02-11,Laptop,3,872.92,2618.77
2025-01-25,Smartphone,8,927.86,7422.91
2025-05-02,Tablet,10,313.3,3133.03
2025-03-16,Tablet,4,823.47,3293.87
2025-01-31,Tablet,10,758.27,7582.65
2025-01-07,Tablet,8,189.48,1515.86
2025-01-08,Smartphone,6,823.61,4941.67
2025-03-04,Headphones,5,701.74,3508.71
2025-03-11,Laptop,1,427.21,427.21
2025-02-06,Headphones,8,490.44,3923.52
2025-02-16,Laptop,4,262.48,1049.92
2025-04-30,Monitor,9,968.42,8715.8
2025-03-30,Smartphone,7,177.16,1240.14
2025-03-16,Monitor,3,329.05,987.14
2025-03-17,Laptop,8,824.04,6592.36
2025-04-08,Tablet,5,926.61,4633.04
2025-04-09,Smartphone,9,523.26,4709.37
2025-04-12,Laptop,1,78.6,78.6
2025-05-16,Tablet,7,614.72,4303.04
2025-04-14,Headphones,9,384.21,3457.89
2025-03-06,Laptop,1,926.49,926.49
2025-04-05,Headphones,7,133.47,934.31
2025-05-23,Laptop,4,566.29,2265.18
2025-02-11,Smartphone,4,721.22,2884.88
2025-05-07,Smartphone,1,878.48,878.48
2025-05-30,Laptop,8,516.95,4135.62
2025-03-09,Laptop,3,682.2,2046.6
2025-02-07,Smartphone,1,503.02,503.02
2025-04-23,Headphones,8,188.78,1510.2
